id,origin_url,image_url,update_time,parsing_time,price,total_area,living_area,kitchen_area,room_number,floor,total_floor,housing,complex,point,state,city,district,street,house_number,ssf,izf,gzf
874,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-podole-generala-gandzyuka-ulitsa-17316652.html,https://cdn.riastatic.com/photos/dom/photo/11406/1140648/114064806/114064806.jpg,2020-09-06 04:17:11.000000,2020-09-06 08:26:45.552212,43000,63,0,0,2,2,9,primary,"",0101000020E6100000033E3F8C10703C4041560108699B4840,Вінницька область,Вінниця,Поділля,Генерала Гандзюка вулиця,6,0,1.3953398,1.7877352
875,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-kiev-pecherskiy-mihaila-boychuka-ulitsa-17431296.html,https://cdn.riastatic.com/photos/dom/photo/11656/1165681/116568124/116568124.jpg,2020-08-31 19:14:27.000000,2020-09-06 08:26:45.557395,86800,39.48,18,12,1,6,7,primary,"",0101000020E6100000AB7B476E0A8D3E40E6ADBA0ED5344940,Київська область,Київ,Печерський район,Михаила Бойчука улица,17,3.840244,4.0732694,3.3510828
876,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-vishenka-hmelnitskoe-shosse-17466551.html,https://cdn.riastatic.com/photos/dom/photo/11577/1157741/115774175/115774175.jpg,2020-09-06 04:16:52.000000,2020-09-06 08:26:45.562643,43499,95,0,0,3,10,10,primary,"",0101000020E61000005205028B2E683C40A5661EA0899E4840,Вінницька область,Вінниця,Вишенька,Хмельницьке шосе,"",0,2.6982632,0.086864
877,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-vishenka-600letiya-ulitsa-17211157.html,https://cdn.riastatic.com/photos/dom/photo/11297/1129751/112975117/112975117.jpg,2020-09-06 04:17:18.000000,2020-09-06 08:26:45.567689,50000,72.4,38,17.6,2,11,12,primary,ЖК Тріумф,0101000020E6100000D33C36B8636C3C40A1534612739C4840,Вінницька область,Вінниця,Вишенька,600-річчя вулиця,66А,0,1.951137,1.0550781
878,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-kiev-pecherskiy-mihaila-boychuka-ulitsa-17433168.html,https://cdn.riastatic.com/photos/dom/photo/11656/1165680/116568009/116568009.jpg,2020-08-31 19:15:45.000000,2020-09-06 08:26:45.572572,116700,59.86,36,10,2,6,7,primary,"",0101000020E6100000C07B478D098D3E404B3BB3B8D4344940,Київська область,Київ,Печерський район,Михаила Бойчука улица,17,3.8385894,4.0718875,3.3448575
879,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-barskoe-shosse-barskoe-shosse-17585612.html,https://cdn.riastatic.com/photos/dom/photo/11705/1170563/117056347/117056347.jpg,2020-09-06 04:19:25.000000,2020-09-06 08:26:45.577335,40000,84,45,12,3,8,9,primary,ЖК Барський,0101000020E61000000DAA105BB6643C4003015AA8409E4840,Вінницька область,Вінниця,Барське шосе,Одеська вулиця,"",0,0.88907206,0.15304011
880,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-zamoste-nemirovskoe-shosse-17218951.html,https://cdn.riastatic.com/photos/dom/photo/11306/1130677/113067738/113067738.jpg,2020-09-06 04:17:01.000000,2020-09-06 08:26:45.582168,26000,52,18,15,1,9,10,primary,ЖК Сімейний Comfort,0101000020E6100000C4AC725807903C40D81D7DBF269C4840,Вінницька область,Вінниця,Замостя,Немирівське шосе,94,0,4.68414,0
881,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-zamoste-nemirovskoe-shosse-17219499.html,https://cdn.riastatic.com/photos/dom/photo/11307/1130735/113073505/113073505.jpg,2020-09-06 04:16:59.000000,2020-09-06 08:26:45.587676,36000,74,36,17,2,4,10,primary,ЖК Сімейний Comfort,0101000020E6100000C4AC725807903C40D81D7DBF269C4840,Вінницька область,Вінниця,Замостя,Немирівське шосе,94,0,4.683878,0
882,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-zamoste-nemirovskoe-shosse-17218881.html,https://cdn.riastatic.com/photos/dom/photo/11306/1130669/113066947/113066947.jpg,2020-09-06 04:16:57.000000,2020-09-06 08:26:45.592966,23500,39,21,8,1,6,10,primary,ЖК Сімейний Comfort,0101000020E6100000C4AC725807903C40D81D7DBF269C4840,Вінницька область,Вінниця,Замостя,Немирівське шосе,94,0,4.683878,0
883,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-vishenka-plyajnaya-ulitsa-17341461.html,https://cdn.riastatic.com/photos/dom/photo/11502/1150221/115022181/115022181.jpg,2020-09-06 04:16:16.000000,2020-09-06 08:26:45.597633,47000,73,37,14,2,5,5,primary,ЖК Барський,0101000020E61000000DAA105BB6643C4003015AA8409E4840,Вінницька область,Вінниця,Барське шосе,Барське шосе,"",0,0.88907206,0.15304011
884,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-kiev-pecherskiy-mihaila-dragomirova-ulitsa-17572399.html,https://cdn.riastatic.com/photos/dom/photo/11691/1169103/116910329/116910329.jpg,2020-09-06 09:09:48.000000,2020-09-06 08:26:45.602149,288512,103.04,60.67,10.92,3,12,17,primary,"",0101000020E6100000A42A055F8D8B3E40152EA12839344940,Київська область,Київ,Печерський район,Михайла Драгомірова вулиця,71,2.9216063,4.3575277,2.0811815
885,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-staryiy-gorod-yasnyiy-pereulok-17401341.html,https://cdn.riastatic.com/photos/dom/photo/11495/1149501/114950178/114950178.jpg,2020-09-06 04:16:02.000000,2020-09-06 08:26:45.607157,29500,65,30,13,2,3,3,primary,"",0101000020E610000014F90C6566803C40EA264C15F79C4840,Вінницька область,Вінниця,Старе місто,Ясний провулок,"",0,5.300555,0
886,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-agronomichnoe-michurina-ulitsa-17401267.html,https://cdn.riastatic.com/photos/dom/photo/11494/1149492/114949228/114949228.jpg,2020-09-06 04:16:01.000000,2020-09-06 08:26:45.611698,21000,41,21.2,10.7,1,1,4,primary,"",0101000020E6100000B4F21744155F3C408EAF3198FA974840,Вінницька область,Вінниця,Агрономічне,Мічуріна вулиця,45,0,0.30995798,0.5082973
887,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-agronomichnoe-michurina-ulitsa-17381755.html,https://cdn.riastatic.com/photos/dom/photo/11474/1147446/114744649/114744649.jpg,2020-09-06 04:19:43.000000,2020-09-06 08:26:45.617193,33453,66.56,31.92,15.3,2,4,5,primary,ЖК Софія,0101000020E61000005AFA22105C5F3C40E80459D3C1974840,Вінницька область,Вінниця,Агрономічне,Мічуріна вулиця,"",0,0.33937678,0.38537982
888,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-slavyanka-tramvaynaya-revolyutsionnaya-ulitsa-17547369.html,https://cdn.riastatic.com/photos/dom/photo/11427/1142787/114278760/114278760.jpg,2020-09-06 04:17:19.000000,2020-09-06 08:26:45.622291,51000,62,31,16,2,3,8,primary,ЖК Avalon 5,0101000020E6100000C351A85D02703C40B7BD384C8F9D4840,Вінницька область,Вінниця,Слов'янка,Трамвайна (Революційна) вулиця,3,0,2.0812924,0.80261004
889,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-odessa-arkadiya-genuezskaya-ulitsa-17234493.html,https://cdn.riastatic.com/photos/dom/photo/11322/1132266/113226693/113226693.jpg,2020-09-03 19:36:40.000000,2020-09-06 08:26:45.627563,64500,38,22,10,2,14,25,primary,ЖК Тридцять шоста перлина,0101000020E61000006A56FDFD52C23E40609C3C9BF8374740,Одеська область,Одеса,Аркадія,Генуезька вулиця,3Б,0,0.15478328,4.058906
